YEAR,Transport_PREMIUMS(bal_A),Fire_PREMIUMS(bal_A),Hailstorm_PREMIUMS(balA),Disasters_PREMIUMS_(balA),Theft_PREMIUMS(balA),Fire+Theft+Glass_PREMIUMS(bal_A),Life_a_PREMIUMS_death(balB),Life_b_PREMIUMS_life(balB),REVENUE_balance A_(transport_branch_+_other_branches)_TOTAL,"REVENUE_balance_B_(life_ insurance_branch),_TOTAL",REVENUES_TOTAL_A+B,CURRENCY,%_TRANSPORT_PREMIUMS_ON_REVENUES_balance_A+B,Grams_of_gold_(gAu)_per_1fl,Wage_per_day_in_grams_of_ silver_(gAg)_inKS
1851,1896819,1413810,,,,1413810,271834,,3333686,806638,4140324,florins,45.81,0.58644,5.48
1852,2432304,1755538,,,,1755538,293334,,4138235,926153,5064388,florins,48.03,0.60563,5.77
1853,2533478,1937189,,,,1937189,348586,,4584897,1127760,5712657,florins,44.35,0.66039,6.36
1854,3199148,2181929,,,,2181929,387708,,5441111,1263771,6704882,florins,47.71,0.57817,5.70
1855,4287652,,,,,,415042,,6750814,1387222,8138036,florins,52.69,0.61086,6.27
1856,,2634843,,,,2634843,,,,,,florins,,0.70725,7.49
1857,4208893,2940906,,,,2940906,482066,,7204186,1638031,8842217,florins,47.6,0.70764,7.44
1858,4250173,3344504,,,,3344504,660055,,7519559,1911001,9430560,florins,45.07,0.73640,7.63
1859,4148813,3421104,,,,3421104,760911,,7828368,2166227,9994595,florins,41.51,0.60056,6.59
1860,5272096,3742154,,,,3742154,774888,,9065588,2292940,11358528,florins,46.42,0.54816,6.11
1861,5357667,3923730,,,,3923730,866601,,9572708,2543056,12115764,florins,44.22,0.50639,5.76
1862,5293389,4255509,,,,4255509,996572,,9682219,2820124,12502343,florins,42.34,0.53420,6.32
1863,5754999,4458426,,,,4458426,1127402,,10496613,3194028,13690641,florins,42.04,0.64021,7.03
1864,5784323,4899275,,,,4899275,1279303,,10709474,3664204,14373678,florins,40.24,0.61560,6.81
1865,5890707,5542179,,,,5542179,1406986,,11281757,4139203,15420960,florins,38.2,0.63962,7.20
1866,6063152,6791506,,,,6791506,1654875,,12290518,4807200,17097718,florins,35.46,0.60521,6.63
1867,7477665,6481078,,,,6481078,1908473,,14959465,5971200,20930665,"Florins (originally in Lire) 1fl = 2,19 Lire ",35.73,0.57895,6.97
1868,7389522,7345591,,,,7345591,1760658,,14551338,6117052,20668390,florins,35.75,0.61626,8.29
1869,6712206,9010381,,,,9010381,1810495,,14977607,6724521,21702128,florins,30.93,0.58247,7.56
1870,7458040,,,,,,2168566,,17624219,8665866,26290085,"Florins (originally in Lire) 1fl = 2,10 Lire ",28.37,0.57604,7.53
1871,8185494,,,,,,2138857,,18392985,9168161,27561146,"Florins (originally in Lire) 1fl = 2,1343 Lire ",29.7,0.59270,7.67
1872,8099484,,,,,,1850029,,17474681,8507494,25982175,florins,31.17,0.64976,9.10
1873,8855358,,,,,,1881057,,19128779,8956679,28085458,florins,31.53,0.64658,9.88
1874,9375505,,,,,,1840496,,20282413,9197725,29480138,florins,31.8,0.64537,10.62
1875,597052,5665195,1462013,,,5665195,1868531,480360,,,,florins,,0.64188,10.78
1876,660961,6124990,1593749,,,6124990,2104966,516936,,,,"Florins (originally in Lire) 1fl = 2,2642 Lire ",,0.59661,9.78
1877,478470,5246493,1630808,,,5246493,2520700,493038,,,,florins,,0.58664,8.82
1878,363604,5039402,1623637,,,5039402,1913568,493368,,,,florins,,0.61188,8.55
1879,613087,4981062,1744892,,,4981062,1953879,493684,,,,florins,,0.61692,9.75
1880,625643,5314132,2007061,,,5314132,2077421,499456,,,,florins,,0.61122,9.48
1881,701919,5883636,2267584,,,5883636,1964355,454459,11594980,18892336,30487316,florins,2.3,0.61428,9.61
1882,862662,6164135,2289961,,,6164135,2195686,454220,12107972,19724943,31832915,florins,2.71,0.60372,9.49
1883,1280062,6498621,2162205,,,6498621,2460715,483805,13263918,20545353,33809271,florins,3.79,0.60298,9.65
1884,1208406,6437204,2450095,,,6437204,2747518,453549,13551864,22029558,35581422,florins,3.4,0.59291,9.51
1885,1204467,6569127,2326506,,,6569127,2985190,517215,13491453,23409537,36900990,florins,3.26,0.58041,9.67
1886,1133103,6566710,2213329,,,6566710,3325730,455059,13500306,25000398,38500704,florins,2.94,0.57441,10.27
1887,1278943,6702193,2324759,,,6702193,3646195,554602,13650955,26826352,40477307,florins,3.16,0.57269,10.41
1888,1387272,6769404,2105421,,,6769404,3880125,454252,14009506,29360306,43369812,florins,3.2,0.58366,11.14
1889,1601892,6804602,2318746,,,6804602,4094970,596866,14386341,31199926,45586267,florins,3.51,0.60478,11.97
1890,1696453,7036845,207421,,,7036845,4379467,485696,12354519,33515750,45870269,florins,3.7,0.62104,11.51
1891,1867235,6874305,195646,,,6874305,4718113,489661,12560736,36765924,49326660,florins,3.79,0.61914,12.49
1892,1706689,6997717,131255,,,6997717,5132113,514225,12485571,39214550,51700121,florins,3.3,0.61400,13.91
1893,2200305,7857612,47556,329347,,7857612,5916484,603669,14851164,45458444,60309608,florins,3.65,0.59700,14.88
1894,1536129,7968649,7031,320524,,7968649,6325137,534442,14325045,49291801,63616846,florins,2.41,0.58700,18.28
1895,1732081,8331612,52,313055,,8331612,6608648,674821,12690243,54692165,67382408,florins,2.57,0.60300,18.49
1896,2818393,8307924,,,,8307924,,,13590340,60335325,73925665,florins,3.81,0.61000,18.30
1897,7729462,17168485,,,,17168485,15882870,944068,28939903,131894638,160834541,Kronen (1 florin = 2 kronen),4.81,0.61000,20.69
1898,8067354,17880294,,,,17880294,17526992,1123419,30858906,142669487,173528393,Kronen (1 florin = 2 kronen),4.65,0.61300,21.70
1899,7730895,18128170,,,,18128170,18620109,1303524,32297052,153081602,185378654,Kronen (1 florin = 2 kronen),4.17,0.60900,21.66
1900,6411667,18641775,,,,18641775,20290181,1109734,31009120,164111590,195120710,Kronen (1 florin = 2 kronen),3.29,0.60960,21.49
1901,4937050,19179387,,,317084,19496471,22411348,1180639,31581624,179622785,211204409,Kronen (1 florin = 2 kronen),2.34,0.60960,23.00
1902,4316155,20219214,,,,20219214,24229626,1263551,30847562,198015613,228863175,Kronen (1 florin = 2 kronen),1.89,0.60960,27.27
1903,3720916,21276945,,,,21276945,26237351,1303102,33503956,215378010,248881966,Kronen (1 florin = 2 kronen),1.5,0.60960,28.33
1904,3646057,22391739,,,,22391739,23579834,1878930,37770036,234200227,271970263,Kronen (1 florin = 2 kronen),1.34,0.60960,29.90
1905,3833502,23671911,,,,23671911,31218178,1444019,41056943,255081190,296138133,Kronen (1 florin = 2 kronen),1.29,0.60960,25.40
1906,3916243,25505395,,,,25505395,34404938,1556234,44615597,280871810,325487407,Kronen (1 florin = 2 kronen),1.2,0.60960,22.97
1907,3921627,27302460,,,,27302460,37858554,1386618,46911863,315714696,362626559,Kronen (1 florin = 2 kronen),1.08,0.60960,24.15
1908,3577201,28866290,,,,28866290,39771212,1556142,44048456,337502538,381550994,Kronen (1 florin = 2 kronen),0.94,0.60960,30.43
1909,3851471,30032501,,,,30032501,42593385,1655521,45726013,363773408,409499421,Kronen (1 florin = 2 kronen),0.94,0.60960,33.63
1910,4502716,29243814,,,,29243814,45672003,1883355,52545216,390120024,442665240,Kronen (1 florin = 2 kronen),1.02,0.60960,33.87
1911,5133335,31117251,,,1494546,32611797,49027023,2063649,56080778,418151700,474232478,Kronen (1 florin = 2 kronen),1.08,0.60960,35.66
1912,6048766,32462892,,,1636126,34099018,52693881,2098198,59142292,444819876,503962168,Kronen (1 florin = 2 kronen),1.2,0.60960,30.64
1913,7340807,33058512,,,1774925,34833437,53886877,2066535,57500566,466297961,523798527,Kronen (1 florin = 2 kronen),1.4,0.60960,
1914,7566223,32885788,,,1873080,34758868,55373045,1823248,59197022,489374557,548571579,Kronen (1 florin = 2 kronen),1.38,0.60960,
